기간,소방서,합계,고가차_계,고가차_55m,고가차_53m,고가차_52m,고가차_50m,고가차_40m,고가차_32m,굴절차_계,굴절차_70m,굴절차_45m,굴절차_41m,굴절차_28m,무인파괴방수차,펌프차_계,펌프차_소형,펌프차_중형,물탱크차_계,물탱크차_소형,물탱크차_중형,화학차_계,화학차_고성능,화학차_일반,화생방차_계,화생방차_제독차_생화학차,구급차_계,구급차_특수,구조차_응압,구조차_계,구조차_구조공작차,구조차_구조버스,구조차_산악구조차,구조차_인명구조견차,생활안전차,조배연차_계,조배연차_조연차,조배연차_배연차,조배연차_조명차,발전차,지휘차_계,지휘차_지휘버스,지휘차_재난현장지휘차,미분무가스차_재난현장지휘차,화재조사차,순찰차,예방점검,재난지원,장비운반차,이동정비차,견인차,유조차,행정차_계,행정차_승용,이동안전체험차,홍보차,교육차,이륜차,트레일러
2018,합계,984,25,2,17,1,3,1,1,27,1,1,3,22,1,120,34,86,99,83,16,23,1,22,3,3,156,154,2,55,25,26,3,1,1,27,19,5,3,2,54,26,28,4,24,47,25,3,31,1,3,1,74,74,3,2,26,143,4
2018,소방재난본부,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,-,2,14,1,2,-,1,-,-,-,-,-,1,1,-,-
2018,119특수구조단,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,7,1,2,3,1,-,-,-,-,-,-,1,-,1,-,-,4,-,-,2,-,-,1,2,2,-,-,1,2,-
2018,종로소방서,44,1,-,-,-,-,-,1,1,-,-,-,1,-,6,3,3,5,5,-,1,-,1,-,-,6,6,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,1,1,1,1,-,3,-,-,-,3,3,-,-,1,8,-
2018,중부소방서,40,1,-,-,-,1,-,-,2,1,-,-,1,1,6,2,4,4,4,-,-,-,-,-,-,5,5,-,2,1,1,-,-,-,1,-,1,-,-,2,1,1,1,1,1,1,-,1,-,-,-,3,3,-,-,1,6,1
2018,광진소방서,30,1,-,-,-,-,1,-,1,-,-,-,1,-,3,-,3,3,3,-,1,-,1,-,-,4,4,-,2,1,1,-,-,-,1,-,1,-,-,2,1,1,-,1,1,1,-,1,-,-,-,3,3,-,-,1,4,-
2018,용산소방서,36,1,-,1,-,-,-,-,1,-,-,-,1,-,5,2,3,4,4,-,1,-,1,-,-,5,5,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,-,-,1,1,-,1,-,-,-,3,3,1,-,1,6,-
2018,동대문소방서,40,1,-,1,-,-,-,-,1,-,-,-,1,-,5,2,3,4,3,1,1,-,1,-,-,6,6,-,2,1,1,-,-,-,2,1,-,1,-,2,1,1,-,1,1,1,1,1,-,1,-,4,4,-,-,1,6,-
2018,영등포소방서,40,1,-,-,1,-,-,-,2,-,-,1,1,-,5,1,4,4,4,-,1,-,1,-,-,7,7,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,-,1,1,1,-,1,-,1,-,3,3,-,-,1,6,-
2018,성북소방서,36,1,-,1,-,-,-,-,1,-,-,-,1,-,4,1,3,3,2,1,1,-,1,-,-,6,6,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,1,1,1,1,-,1,-,-,-,3,3,-,-,1,5,1
2018,은평소방서,37,1,-,1,-,-,-,-,1,-,-,-,1,-,4,3,1,3,3,-,1,-,1,-,-,7,7,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,1,1,1,1,-,1,-,-,-,3,3,-,-,1,6,-
2018,강남소방서,50,1,-,1,-,-,-,-,2,-,-,1,1,-,6,-,6,6,6,-,1,-,1,-,-,10,10,-,2,1,1,-,-,-,1,1,-,-,1,2,1,1,-,1,2,1,-,3,-,-,-,3,3,-,-,1,7,-
2018,서초소방서,42,1,-,1,-,-,-,-,1,-,-,-,1,-,6,-,6,5,4,1,1,-,1,-,-,7,7,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,-,1,1,1,-,1,-,-,-,3,3,-,-,1,7,1
2018,강서소방서,39,1,-,1,-,-,-,-,1,-,-,-,1,-,5,1,4,4,3,1,2,1,1,-,-,7,7,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,-,1,1,1,-,1,-,-,-,3,3,-,-,1,6,-
2018,강동소방서,38,1,-,1,-,-,-,-,1,-,-,-,1,-,5,-,5,5,4,1,1,-,1,-,-,7,6,1,2,1,1,-,-,-,1,-,1,-,-,2,1,1,-,1,1,1,-,1,-,-,-,3,3,-,-,1,5,-
2018,마포소방서,42,1,-,1,-,-,-,-,1,-,-,-,1,-,6,3,3,5,4,1,1,-,1,-,-,8,8,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,-,1,1,1,-,1,-,-,-,3,3,-,-,1,7,-
2018,도봉소방서,35,1,-,1,-,-,-,-,1,-,-,-,1,-,4,-,4,3,2,1,1,-,1,-,-,5,5,-,2,1,1,-,-,-,1,1,-,-,1,2,1,1,-,1,1,1,-,1,-,1,-,3,3,-,-,1,5,-
2018,구로소방서,52,2,-,1,-,1,-,-,1,-,-,-,1,-,8,2,6,7,6,1,1,-,1,-,-,10,10,-,2,1,1,-,-,1,1,1,-,-,-,2,1,1,-,1,1,1,-,1,-,-,-,3,3,-,-,1,9,-
2018,노원소방서,38,1,-,-,-,1,-,-,1,-,-,-,1,-,5,1,4,4,3,1,1,-,1,-,-,7,7,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,-,1,1,1,-,1,-,-,-,3,3,-,-,1,6,-
2018,관악소방서,37,1,-,1,-,-,-,-,1,-,-,-,1,-,5,3,2,4,3,1,-,-,-,1,1,7,7,-,2,1,1,-,-,-,2,2,-,-,-,2,1,1,-,1,1,1,-,1,-,-,-,2,2,-,-,1,5,-
2018,송파소방서,43,1,1,-,-,-,-,-,1,-,-,-,1,-,6,1,5,5,2,3,1,-,1,-,-,8,8,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,-,1,1,1,-,1,-,-,-,3,3,1,-,1,7,-
2018,양천소방서,39,1,-,1,-,-,-,-,1,-,-,-,1,-,5,1,4,5,4,1,-,-,-,-,-,7,7,-,2,1,1,-,-,-,1,-,-,1,-,2,1,1,-,1,1,1,-,1,-,-,-,3,3,-,-,1,6,1
2018,중랑소방서,34,1,-,1,-,-,-,-,1,-,-,1,-,-,4,2,2,3,3,-,1,-,1,-,-,6,6,-,2,1,1,-,-,-,2,-,1,1,-,2,1,1,-,-,1,1,-,1,-,-,-,3,3,-,-,1,5,-
2018,동작소방서,33,1,-,1,-,-,-,-,1,-,-,-,1,-,4,3,1,3,3,-,1,-,1,-,-,5,5,-,2,1,1,-,-,-,1,-,1,-,-,2,1,1,-,1,1,1,-,1,-,-,-,2,2,-,1,1,5,-
2018,서대문소방서,33,1,1,-,-,-,-,-,1,-,-,-,1,-,4,1,3,3,1,2,1,-,1,-,-,6,5,1,2,1,1,-,-,-,1,1,-,-,-,2,1,1,1,1,1,1,-,1,-,-,-,3,3,-,-,1,4,-
2018,강북소방서,33,1,-,1,-,-,-,-,1,-,1,-,-,-,4,-,4,3,3,-,1,-,1,-,-,5,5,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,-,1,1,1,-,1,-,-,-,2,2,1,-,1,5,-
2018,성동소방서,34,1,-,1,-,-,-,-,1,-,-,-,1,-,4,2,2,4,4,-,1,-,1,-,-,5,5,-,2,1,1,-,-,-,1,1,-,-,-,2,1,1,-,1,2,1,-,1,-,-,-,2,2,-,-,1,5,-
2018,소방학교,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,1,-,-,-,2,2,-,-,1,-,-
2018,청와대소방대,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,서울종합방재센터,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2,-,-,-,-,-,-,1,1,-,-,-,-,-
